分钟,借还车数
1min,0.018883194
2min,0.026975991
3min,0.023469112
4min,0.053142703
5min,0.067439978
6min,0.058807661
7min,0.06150526
8min,0.055840302
9min,0.045319665
10min,0.046938225
11min,0.042082547
12min,0.040194227
13min,0.036957108
14min,0.039115187
15min,0.033450229
16min,0.033180469
17min,0.028594551
18min,0.025087672
19min,0.024008632
20min,0.020501753
21min,0.015106555
22min,0.021580793
23min,0.017534394
24min,0.014567035
25min,0.011869436
26min,0.010250877
27min,0.009981117
28min,0.013487996
29min,0.008902077
30min,0.008092797
31min,0.008092797
32min,0.003776639
33min,0.005395198
34min,0.005125438
35min,0.005125438
36min,0.003506879
37min,0.005125438
38min,0.003776639
39min,0.003237119
40min,0.002697599
41min,0.003237119
42min,0.003776639
43min,0.002697599
44min,0.002967359
45min,0.001888319
46min,0.001888319
47min,0.002427839
48min,0.00080928
49min,0.002427839
50min,0.001888319
51min,0.00080928
52min,0.00080928
53min,0.002158079
54min,0.002427839
55min,0.002427839
56min,0.00080928
57min,0.0013488
58min,0.00053952
59min,0.00053952
61min,0.00053952
62min,0.00026976
64min,0.00026976
65min,0.00053952
70min,0.00053952
75min,0.00026976
76min,0.00026976
77min,0.00026976
88min,0.00026976
90min,0.00053952
96min,0.00053952
114min,0.00026976
120min,0.00026976
123min,0.00026976
124min,0.00026976
