分钟,借还车数,,,
1min,0.01888319395737793,,,
2min,0.026975991367682764,,,
3min,0.023469112489883998,,,
4min,0.05314270299433505,,,
5min,0.0674399784192069,,,
6min,0.058807661181548426,,,
7min,0.0615052603183167,,,
8min,0.05584030213110332,,,
9min,0.04531966549770704,,,
10min,0.046938224979767997,,,
11min,0.04208254653358511,,,
12min,0.040194227137847316,,,
13min,0.03695710817372538,,,
14min,0.039115187483139996,,,
15min,0.03345022929592663,,,
16min,0.0331804693822498,,,
17min,0.028594550849743727,,,
18min,0.025087671971944968,,,
19min,0.024008632317237655,,,
20min,0.0205017534394389,,,
21min,0.015106555165902346,,,
22min,0.02158079309414621,,,
23min,0.017534394388993794,,,
24min,0.01456703533854869,,,
25min,0.011869436201780416,,,
26min,0.01025087671971945,,,
27min,0.00998111680604262,,,
28min,0.013487995683841382,,,
29min,0.008902077151335312,,,
30min,0.008092797410304829,,,
31min,0.008092797410304829,,,
32min,0.0037766387914755866,,,
33min,0.005395198273536552,,,
34min,0.005125438359859725,,,
35min,0.005125438359859725,,,
36min,0.003506878877798759,,,
37min,0.005125438359859725,,,
38min,0.0037766387914755866,,,
39min,0.003237118964121932,,,
40min,0.002697599136768276,,,
41min,0.003237118964121932,,,
42min,0.0037766387914755866,,,
43min,0.002697599136768276,,,
44min,0.002967359050445104,,,
45min,0.0018883193957377933,,,
46min,0.0018883193957377933,,,
47min,0.002427839223091448,,,
48min,0.0008092797410304827,,,
49min,0.0024278392230914487,,,
50min,0.0018883193957377933,,,
51min,0.0008092797410304827,,,
52min,0.0008092797410304827,,,
53min,0.002158079309414621,,,
54min,0.0024278392230914487,,,
55min,0.0024278392230914487,,,
56min,0.0008092797410304827,,,
57min,0.001348799568384138,,,
58min,0.0005395198273536552,,,
59min,0.0005395198273536552,,,
61min,0.0005395198273536552,,,
62min,0.0002697599136768276,,,
64min,0.0002697599136768276,,,
65min,0.0005395198273536552,,,
70min,0.0005395198273536552,,,
75min,0.0002697599136768276,,,
76min,0.0002697599136768276,,,
77min,0.0002697599136768276,,,
88min,0.0002697599136768276,,,
90min,0.0005395198273536552,,,
96min,0.0005395198273536552,,,
114min,0.0002697599136768276,,,
120min,0.0002697599136768276,,,
123min,0.0002697599136768276,,,
124min,0.0002697599136768276,,,
